lat,lng,date,street_id,street_name
53.397361,-2.948081,2021-01,910259,On or near Danube Street
53.386679,-2.923305,2021-01,908895,On or near Streatham Avenue
53.396158,-2.945618,2021-01,910193,On or near Wendell Street
53.398526,-2.963192,2021-01,910452,On or near Falkner Square
53.394478,-2.935249,2021-01,910001,On or near Supermarket
53.407679,-2.958434,2021-01,912233,On or near Mount Vernon Green
53.398303,-2.917361,2021-01,909843,On or near Hills Place
53.398726,-2.966249,2021-01,910413,On or near Sir Howard Street
53.399533,-2.969757,2021-01,910467,On or near Blackburne Place
53.372670,-2.959166,2021-01,906858,On or near Park/open Space
53.398035,-2.929898,2021-01,910030,On or near Mystery Close
53.411775,-2.987472,2021-01,911812,On or near Pickop Street
53.398328,-2.928009,2021-01,910039,On or near Fairbank Street
53.386324,-2.946873,2021-01,908747,On or near Belem Close
53.398328,-2.928009,2021-01,910039,On or near Fairbank Street
53.399648,-2.931693,2021-01,909963,On or near Macdonald Street
53.388638,-2.960999,2021-01,908769,On or near Wellington Terrace
53.395382,-2.944864,2021-01,910234,On or near Lesseps Road
53.385988,-2.975087,2021-01,908682,On or near Tamworth Street
53.397557,-2.940445,2021-01,910281,On or near Altcar Avenue
53.392629,-2.950818,2021-01,908755,On or near Britten Close
53.396719,-2.974220,2021-01,910442,On or near Lady Chapel Close
53.409507,-2.987735,2021-01,911860,On or near Cheapside
53.408602,-2.975439,2021-01,912021,On or near Ward Street
53.399792,-2.936268,2021-01,909970,On or near Jesmond Street
53.402337,-2.984170,2021-01,910332,On or near Campbell Street
53.408705,-2.992335,2021-01,911837,On or near George Street
53.390076,-2.941859,2021-01,908757,On or near Sydenham Avenue
53.402192,-2.976571,2021-01,910357,On or near Roscoe Place
53.399883,-2.977556,2021-01,910375,On or near Cummings Street
53.410021,-2.989808,2021-01,911835,On or near Hadwens Buildings
53.389222,-2.946351,2021-01,908745,On or near Croxteth Road
53.395635,-2.930988,2021-01,909978,On or near Fingland Road
53.395382,-2.944864,2021-01,910234,On or near Lesseps Road
53.401576,-2.928787,2021-01,910010,On or near Tiverton Street
53.395087,-2.946917,2021-01,910274,On or near Boswell Street
53.390783,-2.982355,2021-01,908703,On or near Granary Way
53.396527,-2.966966,2021-01,910480,On or near Back Egerton Street South
53.401872,-2.988220,2021-01,910564,On or near Canning Place
53.403824,-2.980369,2021-01,910345,On or near Shopping Area
53.401388,-2.934468,2021-01,909957,On or near Picton Grove
53.398842,-2.978449,2021-01,910371,On or near Grenville Street South
53.389222,-2.946351,2021-01,908745,On or near Croxteth Road
53.411385,-2.983567,2021-01,912068,On or near Fontenoy Street
53.405982,-2.979260,2021-01,912079,On or near Back Lime Street
53.391399,-2.961903,2021-01,908822,On or near Madelaine Street
53.397259,-2.940544,2021-01,910267,On or near Childwall Avenue
