ref_no|name|pointx_class|feature_easting|feature_northing|pos_accuracy|uprn|topo_toid|topo_toid_version|usrn|usrn_mi|distance|address_detail|street_name|locality|geographic_county|postcode|admin_boundary|telephone_number|url|brand|qualifier_type|qualifier_data|provenance|supply_date
129148952|Patty Fashion Boutique|09460656|335067|390047|1|38019041|osgb1000034984953|7|23600577|1|18.9|53a|Bold Street|Liverpool|Merseyside|L1 4EU|Liverpool District||||||Local Data Company|2022-03-01
129148101|The Barber Shop|02100156|334448|390610|1|38040405|osgb1000034933026|3|23601232|1|16.4|64|Dale Street|Liverpool|Merseyside|L2 5ST|Liverpool District||||||Local Data Company|2022-03-01
129147604|George at Asda|09460656|339109.9|388571|1|38201810|osgb1000002730034606|3|23601672|3|58.1|Unit 9 Penny Lane Neighbourhood Centre|Church Road|Wavertree, Liverpool|Merseyside|L15 9EB|Liverpool District|01515521130|www.george.com|George at Asda|||Local Data Company|2022-03-01
129147713|Express Home Saver|09470699|335018.4|390339.5|1|38295114|osgb1000034985287|6|23602736|1|15.1|66|Lime Street|Liverpool|Merseyside|L1 1JN|Liverpool District||||||Local Data Company|2022-03-01
129147714|Bb Barbers|02100156|335017.8|390338.7|1|38295114|osgb1000034985287|6|23602736|2|16|68|Lime Street|Liverpool|Merseyside|L1 1JN|Liverpool District||||||Local Data Company|2022-03-01
129148545|Rush Hair|02100156|334885.6|390246.7|1|38124281|osgb1000034933638|2|23603704|2|19.6|11-13|Ranelagh Street|Liverpool|Merseyside|L1 1JW|Liverpool District|01515417366|www.rush.co.uk/|Rush Hair|||Local Data Company|2022-03-01
129148546|The Blarney Stone|01020034|335135.3|390164.5|1|38125818|osgb1000034985064|7|23603757|2|16.5|33|Renshaw Street|Liverpool|Merseyside|L1 2SA|Liverpool District||||||Local Data Company|2022-03-01
129150598|Chips A Gogo|01020020|334434|389999|1|38312622|osgb5000005150968668|1|23611138|2|50.7|Kiosk, Liverpool One|Custom House Place|Liverpool|Merseyside|L1 8LB|Liverpool District||||||Local Data Company|2022-03-01
129147289|The Brunch Club|01020034|334708|389944|1|38249381|osgb1000002730063357|2|23601428|1|12.8|37-41|Duke Street|Liverpool|Merseyside|L1 5AP|Liverpool District||||||Local Data Company|2022-03-01
129147291|Hush Gentlemans Club|04250825|334507|390385.2|1|38101108|osgb1000034933675|3|23603003|1|20.6|20|Mathew Street|Liverpool|Merseyside|L2 6RE|Liverpool District||||||Local Data Company|2022-03-01
129847763|American Pizza Slice|01020018|335182|389904|1|38019110|osgb1000034982668|5|23600577|1|16.2|122|Bold Street|Liverpool|Merseyside|L1 4JA|Liverpool District||||||Local Data Company|2022-03-01
131487896|Wed2b|07370473|333986|390173|1|38199644|osgb1000034887057|6|23602933|1|33.3|Port of Liverpool Building|Pier Head|Liverpool|Merseyside|L3 1BY|Liverpool District|01512031767|www.wed2b.co.uk/|Wed2B|||Local Data Company|2022-03-01
131490690|Revolucion De Cuba|01020034|334100|389740|1|38063998|osgb1000000241683460|13|23601958|1|153|Edward Pavillion, Albert Dock|City Centre|Liverpool|Merseyside|L3 4AF|Liverpool District|01512036101|www.revoluciondecuba.com|Revolucion De Cuba|||Local Data Company|2022-03-01
131491270|Ny Liverpool|01020034|334339|390502|1|38304425|osgb1000034932996|6|23603316|2|10.4|9, North John Street|City Centre|Liverpool|Merseyside|L2 4SA|Liverpool District||||||Local Data Company|2022-03-01
131490695|Go Local|09470699|334908.9|389382.4|1|38304863|osgb5000005125864020|1|23603958|1|13|46|St. James Street|Liverpool|Merseyside|L1 0AB|Liverpool District||golocalstores.co.uk/|Go Local|||Local Data Company|2022-03-01
131491039|The Refinery|01020034|335647|390006|1|38216635|osgb5000005120325424|1|23602392|1|15.2|5, Hope Street|Liverpool Chinatown|Liverpool|Merseyside|L1 9BQ|Liverpool District|01512943024|www.bistroqui.com/|Bistro Qui?|||Local Data Company|2022-03-01
